aX,aY,aZ,gX,gY,gZ
-0.218,-0.37,2.201,126.34299999999999,-1.4040000000000001,-58.044
-0.076,-0.057,2.112,60.791000000000004,41.748000000000005,-63.293
-0.196,0.003,1.959,-2.563,78.125,-99.182
-0.11199999999999999,-0.212,1.565,-70.49600000000001,100.708,-151.917
0.696,-0.6829999999999999,0.45299999999999996,-98.999,89.478,-175.293
0.884,-0.715,0.795,-6.957999999999999,20.325,-124.512
0.278,-0.373,1.635,111.084,-48.157,-57.617
0.228,-0.33399999999999996,1.5959999999999999,169.861,-44.617,-27.405
0.491,-0.369,1.3030000000000002,189.392,-18.677,-22.888
0.342,-0.35700000000000004,1.4040000000000001,184.998,-46.753,-26.366999999999997
0.19699999999999998,-0.332,1.433,182.861,-69.458,-28.686999999999998
0.16699999999999998,-0.425,1.278,192.505,-64.453,-34.302
0.17600000000000002,-0.519,1.0490000000000002,197.571,-54.26,-43.273999999999994
0.139,-0.511,0.892,190.674,-53.284,-53.345
0.057999999999999996,-0.33399999999999996,0.805,180.481,-56.335,-60.974
-0.022000000000000002,-0.205,0.713,171.387,-57.007,-58.777
-0.044000000000000004,-0.16699999999999998,0.645,159.97299999999998,-52.611999999999995,-51.575
-0.055999999999999994,-0.047,0.7070000000000001,150.024,-43.396,-45.653999999999996
-0.077,-0.12300000000000001,0.73,143.921,-31.066999999999997,-36.438
0.002,-0.23399999999999999,0.7440000000000001,138.0,-19.409000000000002,-28.076
0.064,-0.33299999999999996,0.818,125.12200000000001,-22.888,-18.372
0.083,-0.375,0.889,107.42200000000001,-32.593,-14.587
0.046,-0.335,0.972,97.53399999999999,-34.607,-22.644000000000002
-0.024,-0.46299999999999997,0.937,96.741,-43.823,-26.794
-0.071,-0.542,0.888,98.999,-51.758,-30.029
-0.071,-0.499,0.8590000000000001,106.262,-49.071999999999996,-38.574
-0.07,-0.563,0.71,121.887,-48.096000000000004,-47.913000000000004
-0.171,-0.485,0.539,137.329,-49.622,-59.387
-0.313,-0.318,0.41700000000000004,142.822,-52.123999999999995,-60.364
-0.361,-0.473,0.263,137.878,-48.523,-51.331
-0.39299999999999996,-0.545,0.255,126.221,-36.804,-47.54600000000001
-0.384,-0.518,0.336,114.868,-21.423000000000002,-46.81399999999999
-0.397,-0.499,0.314,120.178,-2.136,-44.983000000000004
-0.43,-0.475,0.345,132.874,15.442,-42.114
-0.42200000000000004,-0.525,0.358,139.893,23.254,-33.569
-0.413,-0.546,0.37,141.541,32.104,-22.095
-0.5589999999999999,-0.542,0.42200000000000004,147.339,33.936,-12.695
-0.561,-0.684,0.342,158.936,29.114,-11.536
-0.42,-0.738,0.187,155.884,20.386,-28.625
-0.39,-0.6579999999999999,0.22399999999999998,144.409,0.488,-46.50899999999999
-0.49,-0.5920000000000001,0.16399999999999998,137.329,-16.663,-52.49
-0.52,-0.644,0.027000000000000003,134.27700000000002,-23.375999999999998,-57.495
-0.617,-0.657,-0.2,135.071,-25.085,-59.692
-0.688,-0.5870000000000001,-0.29100000000000004,131.592,-27.283,-54.26
-0.737,-0.586,-0.485,132.996,-23.743000000000002,-45.776
-0.833,-0.536,-0.716,137.14600000000002,-20.813000000000002,-33.141999999999996
-1.102,-0.51,-0.573,150.81799999999998,-27.344,-13.0
-1.103,-0.6659999999999999,-1.043,199.646,-35.522,36.56
-1.015,-0.486,-1.35,191.956,-22.156,87.463
-1.078,-0.504,-1.3119999999999998,133.972,-27.465999999999998,115.479
