acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
454,-1719,4951,369,175,602,0
367,-1764,4784,402,218,743,0
293,-1500,4636,390,245,904,0
300,-944,4622,404,255,1026,0
331,-478,4618,491,257,1035,0
428,-406,4510,560,262,977,0
234,-996,4690,580,241,909,0
326,-1063,5118,791,239,1001,0
556,-224,4974,857,309,1124,0
328,-599,5200,811,368,1131,0
252,-203,4910,834,418,1221,0
150,414,4746,740,413,1279,0
222,706,5203,594,379,1268,0
186,669,5425,536,438,1211,0
201,704,5390,493,524,1184,0
174,896,5331,454,586,1153,0
170,829,5388,375,641,1102,0
163,649,5375,347,717,1066,0
126,652,5166,280,807,1091,0
130,721,4991,183,852,1123,0
145,882,5077,177,863,1120,0
169,1254,5036,135,913,1112,0
241,1699,5003,217,956,1012,0
161,1567,5022,289,1000,829,0
123,1113,5158,307,1060,707,0
103,1129,5141,425,1145,665,0
72,1317,4954,431,1240,640,0
-29,1521,4745,403,1306,596,0
-29,1739,4569,330,1357,548,0
-138,1848,4175,256,1397,474,0
-278,1719,3906,151,1382,392,0
-361,1575,3822,78,1334,338,0
-411,1582,3879,22,1286,309,0
-448,1634,4128,-43,1261,237,0
-449,1774,4297,-49,1291,204,0
-452,1997,4205,-35,1357,149,0
-477,2148,3943,0,1408,54,0
-556,2265,3677,30,1413,-57,0
-654,2261,3548,57,1379,-179,0
-670,2250,3607,79,1326,-287,0
-700,2274,3692,50,1301,-381,0
-771,2322,3599,0,1303,-471,0
-829,2428,3474,-61,1296,-563,0
-889,2421,3256,-118,1286,-677,0
-979,2049,3063,-183,1254,-798,0
-1052,1728,2965,-223,1210,-854,0
-1046,1737,2870,-231,1169,-872,0
-1060,1788,2695,-231,1134,-921,0
-1115,1816,2489,-221,1080,-990,0
-1127,1896,2374,-194,1010,-1070,0
-1141,1814,2265,-171,933,-1175,0
-1180,1551,2295,-176,846,-1270,0
-1206,1274,2423,-183,773,-1327,0
-1187,1199,2404,-206,740,-1337,0
-1216,1263,2190,-221,721,-1356,0
-1271,1116,1997,-224,672,-1405,0
-1318,894,1874,-208,600,-1443,0
-1366,631,1855,-211,511,-1451,0
-1406,592,1850,-235,431,-1415,0
-1438,748,1700,-249,359,-1387,0
-1527,888,1689,-179,132,-1454,0
-1476,679,1945,-141,17,-1510,0
-1487,420,2099,-121,-48,-1541,0
-1492,302,2085,-97,-92,-1541,0
-1488,234,2045,-77,-144,-1544,0
-1525,192,2063,-81,-209,-1544,0
-1486,262,2094,-96,-272,-1538,0
-1471,287,2050,-103,-332,-1557,0
