acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-503,1031,5120,-673,534,-944
-621,-42,4668,-668,580,-936
-819,-233,4581,-742,596,-697
-905,179,4419,-910,613,-469
-827,518,4239,-1005,605,-384
-892,512,3948,-986,572,-403
-957,345,3777,-958,496,-425
-1020,237,3788,-911,397,-426
-999,264,3829,-877,305,-420
-1029,220,3964,-813,230,-433
-1019,124,4072,-704,166,-462
-966,24,4379,-684,124,-454
-955,-28,4640,-667,138,-437
-940,-77,4612,-605,188,-416
-1078,-4,4486,-571,229,-382
-1272,-316,4170,-411,194,-406
-1072,-671,3709,-55,30,-364
-1141,-244,4607,-212,-106,-124
-989,419,4993,24,-108,-96
-958,526,4954,101,-79,-153
-973,484,4942,-90,-39,-170
-1001,502,4731,-288,-16,-182
-906,347,4850,-519,-20,-192
-958,215,5010,-615,43,-211
-989,232,4798,-591,134,-245
-1058,70,4538,-737,198,-256
-1130,-48,4294,-865,213,-248
-1155,-153,4118,-943,187,-240
-1374,844,3767,-1106,112,-244
-725,1177,4198,-1597,3,-517
-1068,-55,4015,-1591,-2,-714
-1019,-464,4158,-1236,-136,-733
-968,-416,4449,-1076,-242,-707
-927,-932,4749,-1363,-175,-651
-974,-1056,4628,-1309,-43,-609
-978,-1130,4484,-1342,70,-548
-1047,-1313,4210,-1304,164,-488
-1121,-1377,3970,-1211,200,-445
-1177,-1387,3859,-1154,209,-436
-1218,-1346,3659,-1222,206,-429
-1260,-1465,3592,-1578,180,-343
-1334,-1934,3690,-1681,119,-235
-1389,-2125,3614,-1387,26,-102
-1390,-2011,3766,-1267,-55,59
-1343,-1969,3934,-1155,-91,164
-1359,-1916,3866,-888,-99,229
-1390,-1598,3770,-757,-105,291
-1400,-1527,3583,-604,-124,270
-1410,-1436,3299,-324,-190,216
-1391,-1176,3333,-223,-278,160
-1345,-1180,3411,-314,-364,55
-1235,-1556,3508,-301,-542,7
-1034,-2253,4553,117,-799,205
-975,-1991,4823,145,-721,382
-969,-1688,4593,110,-557,495
-986,-1493,4408,49,-438,576
-1046,-1125,3930,269,-364,541
-1130,-948,3412,414,-368,442
-1155,-1043,3181,431,-462,339
-1114,-1188,3233,453,-605,251
-1039,-1441,3578,339,-751,220
-971,-1719,4031,209,-832,249
-877,-1882,4375,129,-815,340
-831,-1755,4419,132,-721,466
-809,-1516,4343,35,-607,600
-783,-1263,4133,-60,-500,684
-795,-991,3851,-74,-423,701
-813,-768,3566,-40,-405,649
-813,-768,3566,-40,-405,649
-812,-718,3489,-44,-423,559
-768,-882,3355,91,-447,317
-719,-1015,3318,147,-475,220
-682,-1158,3339,222,-519,127
-610,-1332,3435,288,-575,51
-548,-1543,3660,287,-624,19
-517,-1751,3969,247,-630,32
-485,-1903,4148,183,-581,87
-505,-2018,4206,11,-483,212
-518,-2005,4145,-50,-365,351
-567,-1372,3402,95,-236,517
-548,-1185,3300,100,-284,516
-514,-1082,3321,203,-341,445
-473,-1108,3360,312,-393,347
-437,-1212,3509,415,-430,262
-392,-1290,3547,599,-443,184
-328,-1322,3576,780,-449,133
-342,-1215,3442,858,-465,133
-316,-1224,3626,548,-509,230
-221,-1318,3941,383,-532,297
-133,-1260,4028,428,-510,334
-62,-1180,4122,452,-472,350
-38,-1181,4163,501,-425,333
62,-1162,4200,551,-373,325
112,-1086,4224,647,-311,304
78,-994,4173,748,-242,256
22,-1023,4072,802,-171,197
-20,-1138,3934,849,-115,153
-18,-1249,3819,966,-87,132
26,-1174,3711,1176,-83,137
100,-982,3576,1295,-104,157
112,-967,3559,1172,-157,184
129,-1064,3669,899,-235,265
214,-993,3915,621,-330,425
262,-571,4177,496,-394,600
342,22,4330,463,-401,676
377,374,4441,478,-369,588
351,413,4505,664,-330,357
381,259,4490,889,-298,99
411,-29,4610,917,-274,-59
402,-300,4858,911,-235,-121
417,-461,5025,933,-163,-124
453,-528,5171,929,-75,-85
481,-384,5141,976,20,-21
468,-41,4926,921,111,77
391,272,4787,682,176,187
329,503,4716,485,208,226
332,578,4814,412,213,167
222,504,4869,694,267,-99
342,439,4975,779,307,-210
292,270,4923,912,360,-330
178,63,4865,963,392,-393
148,-44,4792,1011,402,-409
89,-88,4729,1025,390,-385
-15,-77,4776,1014,363,-325
-44,51,4898,967,354,-235
-55,297,4848,1041,399,-182
-108,602,4525,1229,449,-197
-200,821,4263,1282,434,-222
-251,947,4290,1206,364,-246
-173,991,4498,1146,305,-296
-149,900,4586,1146,297,-374
-175,718,4639,1089,306,-414
-182,556,4753,960,306,-395
-153,445,4892,808,329,-332
-180,447,4805,759,393,-269
-263,555,4511,797,457,-215
-387,787,4205,908,471,-189
-391,1020,3929,1057,427,-219
-447,1130,3828,1109,330,-261
-502,1151,3928,1059,217,-285
-484,1142,4176,957,128,-282
-454,1088,4452,856,100,-270
-465,1070,4598,808,125,-255
-481,1127,4615,753,169,-225
-469,1206,4607,640,226,-184
-515,1257,4497,574,292,-166
-530,1287,4297,563,331,-171
-538,1275,4154,596,336,-186
-557,1284,3997,644,318,-200
-563,1243,3879,639,277,-208
-556,1135,3850,641,216,-219
-626,963,3901,671,148,-230
-625,829,4066,629,84,-190
-592,813,4341,528,65,-92
-573,986,4524,477,118,7
-580,1228,4401,446,224,75
-667,1373,4082,460,325,88
-757,1497,3631,557,357,64
-724,1608,3379,620,175,-12
-793,1611,3598,626,44,-51
-664,1547,3978,553,-43,-70
-686,1408,4187,542,-50,-90
-673,1369,4170,519,-28,-77
-689,1317,4093,467,0,-39
-743,1354,3944,428,15,11
-734,1464,3851,410,2,57
-782,1623,3815,398,-19,93
-734,1736,3881,363,-53,113
-718,1826,3965,395,-77,96
-716,1903,4080,409,-98,73
-636,1964,4264,384,-107,57
-660,2006,4339,351,-68,39
-652,1988,4326,300,-16,12
-662,1920,4237,313,28,-25
-699,1900,4084,328,57,-46
-697,1857,3979,296,71,-54
-742,1807,3850,287,70,-58
-727,1782,3815,283,53,-59
-748,1785,3837,327,31,-72
-702,1805,3900,339,13,-79
-688,1819,3946,328,11,-85
-688,1809,3967,278,21,-87
-776,1742,3947,250,39,-94
-747,1739,3864,222,44,-95
-711,1693,3787,190,48,-98
-789,1635,3653,180,49,-90
-790,1601,3585,168,11,-72
-744,1625,3630,174,-38,-55
-712,1648,3785,172,-83,-40
-679,1647,3963,166,-102,-27
-668,1678,4073,182,-94,-9
-646,1759,4131,177,-68,12
