acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-80,-107,4289,564,-398,-75
-20,-27,4256,599,-414,-113
-188,59,4148,543,-441,-155
-221,191,4098,593,-545,-235
-164,191,3935,610,-666,-320
-348,-251,4195,639,-853,-359
508,435,6431,775,-1050,-352
466,-625,8327,297,-683,-287
580,-837,8513,-271,28,39
449,608,7177,-261,672,213
169,1378,5870,-409,1015,123
-55,1417,4966,-560,1065,-114
-225,829,4639,-616,937,-357
-237,112,4895,-527,735,-506
-141,-408,5521,-423,607,-534
-91,-640,5919,-357,632,-475
-109,-739,5941,-361,741,-368
-122,-978,6002,-310,848,-255
-72,-947,5873,-213,984,-107
-136,-771,5527,-117,1111,26
-192,-550,5077,7,1177,114
-182,-267,4769,123,1184,159
-256,-95,4465,200,1173,145
-284,-138,4248,182,1150,119
-308,-191,4001,174,1121,101
-401,-459,3694,202,990,72
-404,-590,3739,258,923,93
-388,-574,3812,305,877,143
-343,-417,3859,341,867,199
-300,-319,3848,377,887,220
-297,-314,3866,397,900,216
-301,-272,3798,433,933,218
-327,-138,3482,487,981,227
-401,116,3027,550,990,217
-499,222,2613,602,934,156
-603,101,2388,628,822,88
-661,12,2405,624,696,60
-690,40,2370,599,601,71
-750,200,2215,569,518,98
-813,392,2129,552,412,109
-782,353,2481,573,270,76
-668,361,3427,526,163,73
-522,693,3950,433,241,119
-522,693,3950,433,241,119
-727,1481,2491,339,476,45
-813,1367,2170,337,363,-75
-779,1190,2387,333,185,-163
-673,1065,2806,293,53,-204
-603,1127,3096,244,0,-204
-546,1398,3187,233,-20,-211
-479,1611,3317,225,-47,-258
-437,1735,3549,197,-60,-328
-427,1792,3698,178,-44,-418
-466,1850,3679,146,-6,-503
-555,1939,3478,90,28,-573
-635,2030,3215,47,28,-642
-735,2121,3020,47,-19,-719
-760,2133,3106,48,-111,-801
-739,2107,3314,25,-184,-874
-740,2079,3529,-14,-221,-944
-701,2087,3744,-54,-232,-1012
-687,2082,3748,-44,-211,-1103
-711,1915,3746,-27,-198,-1216
-678,1333,3789,-12,-170,-1388
-720,1097,3655,8,-152,-1431
-722,864,3611,35,-166,-1463
-725,695,3632,51,-183,-1475
-743,604,3570,76,-190,-1484
-754,581,3397,122,-209,-1500
-778,488,3336,146,-260,-1532
-771,210,3514,124,-327,-1560
-743,-151,3879,103,-371,-1558
-713,-469,4132,105,-364,-1527
-718,-737,4266,99,-321,-1474
-764,-966,4239,70,-257,-1398
-816,-1112,4036,53,-200,-1308
-810,-1146,3909,64,-192,-1218
-816,-1131,3905,89,-209,-1149
-823,-1181,3877,100,-223,-1095
-850,-1192,3835,118,-238,-1038
-858,-1283,3825,126,-264,-984
-872,-1388,3837,110,-277,-917
-908,-1508,3663,90,-273,-840
-905,-1637,3448,76,-290,-753
-951,-1614,3208,73,-325,-648
-918,-1583,3170,75,-390,-558
-841,-1592,3343,75,-445,-480
-790,-1561,3273,59,-450,-385
-764,-1404,2958,62,-451,-285
-753,-1235,2637,72,-502,-206
-715,-1039,2532,95,-595,-138
-639,-735,2589,128,-691,-80
-580,-480,2732,150,-771,-57
-552,-339,2832,140,-817,-48
-542,-164,2731,103,-834,-31
-601,4,2433,61,-864,-24
-623,151,2146,30,-952,-21
-600,386,2007,13,-1083,-17
-483,551,2159,3,-1243,-37
-299,481,2716,-30,-1396,-80
-114,346,3434,-102,-1477,-94
27,483,3807,-178,-1452,-68
85,800,3718,-235,-1385,-71
110,810,3526,-270,-1362,-152
162,513,3632,-275,-1386,-256
189,343,3099,-243,-1500,-345
532,-217,4720,-162,-1702,-397
598,-413,5403,-122,-1538,-320
596,-192,4914,-133,-1303,-242
528,-303,4531,-136,-1217,-232
