acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-377,148,5315,118,597,-286
-396,18,5581,121,625,-253
-304,398,5673,141,703,-211
-346,483,5446,145,803,-247
-423,144,5212,169,874,-294
-464,49,5068,201,925,-280
-519,233,4822,211,975,-254
-567,347,4567,204,1007,-257
-641,181,4393,210,1019,-277
-682,255,4326,230,1018,-263
-650,453,4338,245,1025,-260
-729,246,4227,227,1052,-288
-769,231,4028,249,1064,-279
-795,283,3947,272,1061,-275
-823,207,3844,288,1063,-280
-833,221,3740,290,1058,-272
-862,279,3622,275,1044,-267
-889,243,3505,262,1017,-273
-910,99,3451,250,983,-277
-904,40,3471,241,952,-262
-921,48,3372,232,933,-241
-943,153,3303,235,898,-228
-937,177,3394,242,859,-240
-969,-56,3370,236,847,-254
-1044,15,3043,262,810,-209
-1098,-71,2926,264,750,-210
-1133,-76,2982,267,684,-191
-1149,18,3007,268,636,-163
-1158,118,2936,250,593,-150
-1166,75,2975,226,537,-145
-1125,79,3243,212,488,-132
-1113,137,3262,194,488,-117
-1160,103,3003,174,489,-113
-1175,112,2894,171,442,-105
-1197,59,2884,168,391,-98
-1200,96,2851,162,347,-75
-1200,96,2851,162,347,-75
-1216,187,2732,148,308,-58
-1251,177,2597,141,258,-53
-1270,251,2378,149,198,-42
-1314,300,2215,144,117,-42
-1352,221,2226,123,18,-39
-1340,341,2273,118,-67,-12
-1310,460,2407,107,-145,-5
-1316,532,2448,90,-201,-3
-1318,769,2388,89,-257,0
-1299,854,2510,94,-332,-30
-1260,867,2695,94,-392,-58
-1246,1054,2542,100,-428,-80
-1244,972,2488,79,-506,-127
-1191,849,2717,59,-596,-155
-1134,1017,2804,38,-649,-165
-1153,1078,2821,0,-696,-211
-1100,971,3039,8,-802,-274
-1043,974,3168,-20,-830,-303
-1046,883,3013,-60,-839,-334
-1021,687,3109,-78,-888,-363
-948,576,3400,-89,-923,-367
-917,605,3381,-124,-909,-357
-769,1058,3555,-216,-903,-370
-692,1538,3568,-407,-800,-535
-1003,43,2832,-507,-777,-695
-911,4,3326,-367,-966,-602
-863,73,3212,-213,-1111,-552
-620,-53,4394,-130,-1219,-484
-606,675,4319,-150,-1048,-410
-729,1390,3703,-239,-953,-488
-698,380,3481,-265,-1096,-740
-689,-378,4348,-198,-1161,-688
-807,75,3649,-180,-1075,-577
-719,153,3708,-131,-1156,-551
-644,331,3994,-63,-1205,-537
-563,151,4265,-12,-1234,-551
-415,334,4637,-12,-1165,-509
-426,344,4649,-33,-1128,-522
-390,400,4737,-24,-1120,-546
-296,117,5026,-35,-1109,-578
-296,14,5043,-64,-1020,-548
-284,17,4879,-84,-961,-535
-212,-24,5085,-95,-943,-534
-195,-57,5224,-89,-876,-526
-170,-66,5284,-72,-807,-517
-174,7,5139,-66,-732,-518
-132,44,4956,-65,-694,-535
-81,-29,5072,-66,-672,-552
-147,-69,4844,-78,-603,-549
-156,-105,4721,-83,-584,-549
-160,-165,4818,-84,-575,-550
-104,-159,4820,-84,-544,-550
-106,-287,4871,-98,-498,-546
-90,-363,4769,-86,-446,-521
-37,-422,4883,-97,-407,-488
0,-402,4856,-118,-339,-448
20,-190,4640,-135,-276,-421
21,-327,4506,-167,-245,-439
-23,-713,4427,-141,-229,-445
-22,-912,4437,-110,-219,-388
38,-731,4506,-101,-193,-297
48,-553,4341,-116,-153,-251
35,-916,4369,-129,-137,-233
69,-1096,4577,-96,-113,-151
104,-831,4350,-61,-46,-43
121,-856,4228,-36,-30,3
170,-1055,4529,-7,-29,56
168,-809,4378,2,31,142
80,-741,3964,-7,62,177
35,-970,3932,13,25,203
34,-842,3943,50,-26,326
35,-914,4052,57,-45,374
57,-846,4127,68,-44,442
59,-837,4160,63,-35,496
75,-712,4136,75,-17,556
103,-532,4083,95,-5,595
94,-603,4184,109,-2,608
142,-451,4201,135,20,642
67,-413,3979,161,48,663
83,-410,3993,189,13,690
148,-289,4153,191,-9,729
167,-235,4137,190,1,752
219,-209,4237,194,5,770
274,-61,4165,202,30,790
245,-185,3933,199,51,785
251,-334,3977,209,32,801
275,-310,3960,217,28,851
301,-233,4034,246,27,897
345,3,4015,250,40,939
342,350,3898,261,56,946
310,406,3741,279,54,910
323,339,3837,268,16,883
328,327,3883,248,5,878
318,322,3892,201,0,886
333,425,4001,179,-2,899
